,Title,Date,URL
22,구름맵은 우회상승이고 뭐고 그냥 바닥딸이 답인가,2023.10.25,/b/gaijin/89615600?before=2023-10-24T23%3A01%3A53Z
23,7미리 딱총 진짜 존나 예능이노,2023.10.25,/b/gaijin/89615305?before=2023-10-24T23%3A01%3A53Z
24,대전기에서는 경험치 얼마나 벌리나 궁금해서 돌려봤는데,2023.10.25,/b/gaijin/89615092?before=2023-10-24T23%3A01%3A53Z
25,J2m2 썬더스킬 이거 대체 뭐냐,2023.10.25,/b/gaijin/89614867?before=2023-10-24T23%3A01%3A53Z
26,K1이랑 K1A1이랑 장갑재 성능 차이 말고도,2023.10.25,/b/gaijin/89614720?before=2023-10-24T23%3A01%3A53Z
27,그러고보니 업뎃 공지는 언제 올라오냐,2023.10.25,/b/gaijin/89614701?before=2023-10-24T23%3A01%3A53Z
28,행복을 손에 넣었다,2023.10.25,/b/gaijin/89614693?before=2023-10-24T23%3A01%3A53Z
29,아 시발 좆같은새끼들 진짜,2023.10.25,/b/gaijin/89614644?before=2023-10-24T23%3A01%3A53Z
30,엑셈8 이런애들은 나중에 상자에 추가됨?,2023.10.25,/b/gaijin/89614627?before=2023-10-24T23%3A01%3A53Z
31,가스 좋아하면 밀실에서 연탄키고 뒤지던가 애미디진새끼야,2023.10.25,/b/gaijin/89614585?before=2023-10-24T23%3A01%3A53Z
32,오늘 저녁9시에 다음 패치 되는거 맞지?,2023.10.25,/b/gaijin/89614555?before=2023-10-24T23%3A01%3A53Z
33,5.0 BR 3인 편대가 상대라니,2023.10.25,/b/gaijin/89614517?before=2023-10-24T23%3A01%3A53Z
34,BTR-80 탄띠는 왜 뺏어간거냐,2023.10.25,/b/gaijin/89614245?before=2023-10-24T23%3A01%3A53Z
35,첫 판부터 업방은 심하잖아,2023.10.25,/b/gaijin/89614175?before=2023-10-24T23%3A01%3A53Z
36,딸배가 개이득인 이유.fact,2023.10.25,/b/gaijin/89614147?before=2023-10-24T23%3A01%3A53Z
37,시발 미갈 새끼들 캐스 ㅈㄴ 좋노 ㅋㅋㅋ,2023.10.25,/b/gaijin/89614125?before=2023-10-24T23%3A01%3A53Z
38,K1A1 기동력은 확실히 호불호 갈리는 지점이 될듯,2023.10.25,/b/gaijin/89614099?before=2023-10-24T23%3A01%3A53Z
39,이론상 중동 최강의 테크니컬...,2023.10.25,/b/gaijin/89614090?before=2023-10-24T23%3A01%3A53Z
40,ㅄ 짱깨 믈라년 ㅋㅋㅋㅋㅋㅋ,2023.10.25,/b/gaijin/89613909?before=2023-10-24T23%3A01%3A53Z
41,소련 대전기 대공 뭐 타야함?,2023.10.25,/b/gaijin/89613751?before=2023-10-24T23%3A01%3A53Z
42,실좆백구 이탈리아임?,2023.10.25,/b/gaijin/89613670?before=2023-10-24T23%3A01%3A53Z
43,아리에테 기동에 존나 환상 가진 애들이 많네,2023.10.25,/b/gaijin/89613544?before=2023-10-24T23%3A01%3A53Z
44,미8 내부 널찍하네,2023.10.25,/b/gaijin/89613537?before=2023-10-24T23%3A01%3A53Z
0,Черный,2023.10.25,/b/gaijin/89622205?before=2023-10-25T00%3A54%3A41Z
1,단포신 자주포는 왜 쓰는거야..?,2023.10.25,/b/gaijin/89622129?before=2023-10-25T00%3A54%3A41Z
2,아무도안해서 81식마이닝 뜯어보기,2023.10.25,/b/gaijin/89622082?before=2023-10-25T00%3A54%3A41Z
3,29G랑 SMT 선택폭이 넓어졌네,2023.10.25,/b/gaijin/89622044?before=2023-10-25T00%3A54%3A41Z
4,흑표가 당연히 k2라 생각했는데,2023.10.25,/b/gaijin/89621844?before=2023-10-25T00%3A54%3A41Z
5,대 소 갈,2023.10.25,/b/gaijin/89621770?before=2023-10-25T00%3A54%3A41Z
6,이해가 안 가네,2023.10.25,/b/gaijin/89621619?before=2023-10-25T00%3A54%3A41Z
7,빨갱이 4.5세대이상급은 유저스킨 안써도될듯,2023.10.25,/b/gaijin/89621565?before=2023-10-25T00%3A54%3A41Z
8,비행대 마가끄 갈 탈만한가,2023.10.25,/b/gaijin/89621516?before=2023-10-25T00%3A54%3A41Z
9,빨리 pc도 할인해 '줘',2023.10.25,/b/gaijin/89621488?before=2023-10-25T00%3A54%3A41Z
10,어서 카이오와 풀업 시켜야겠네,2023.10.25,/b/gaijin/89621474?before=2023-10-25T00%3A54%3A41Z
11,수상하게 윙팁에 파이선을 달면 죽는 병이 있는,2023.10.25,/b/gaijin/89621287?before=2023-10-25T00%3A54%3A41Z
12,요즘 탈레반,2023.10.25,/b/gaijin/89621280?before=2023-10-25T00%3A54%3A41Z
13,세일 대충 30일에 할듯,2023.10.25,/b/gaijin/89621223?before=2023-10-25T00%3A54%3A41Z
14,29 SMT에 추가 플레어 포드 나온듯?,2023.10.25,/b/gaijin/89621124?before=2023-10-25T00%3A54%3A41Z
15,대항브 할인해 안톤!,2023.10.25,/b/gaijin/89621011?before=2023-10-25T00%3A54%3A41Z
16,미니 F-16과 라지 F-16,2023.10.25,/b/gaijin/89620756?before=2023-10-25T00%3A54%3A41Z
17,Mi-8AMSh 이거 깡통인가?,2023.10.25,/b/gaijin/89620462?before=2023-10-25T00%3A54%3A41Z
18,뭐야 81식 마이닝 까본사람 아직 업슴?,2023.10.25,/b/gaijin/89620443?before=2023-10-25T00%3A54%3A41Z
19,K1 유폭 유폭 하는데,2023.10.25,/b/gaijin/89620429?before=2023-10-25T00%3A54%3A41Z
20,휴이C에서 빠져서 수송헬기 트리 가능성도 있나,2023.10.25,/b/gaijin/89620393?before=2023-10-25T00%3A54%3A41Z
21,보통 콘솔 세일하면 pc는 며칠뒤에 세일했지?,2023.10.25,/b/gaijin/89620288?before=2023-10-25T00%3A54%3A41Z
22,Gibka-S 이거 이글라-S랑 베르바 쓰는구나,2023.10.25,/b/gaijin/89620287?before=2023-10-25T00%3A54%3A41Z
